YEAR,LocationDesc,StateCode,Data_Value,Lung Cancer
2014,New Hampshire,NH,17.5,250
2014,New Jersey,NJ,15.1,1560
2014,New Mexico,NM,19.1,370
2014,New York,NY,14.4,3460
2014,North Carolina,NC,19.1,1550
2014,North Dakota,ND,19.9,130
2014,Ohio,OH,21,9760
2014,Oklahoma,OK,21.1,3320
2014,Oregon,OR,17,2950
2014,Pennsylvania,PA,19.9,10290
2014,Rhode Island,RI,16.3,180
2014,South Carolina,SD,21.5,790
2014,South Dakota,SD,18.6,160
2014,Tennessee,TN,24.2,5980
2014,Texas,TX,14.5,14890
2014,Utah,UT,9.7,650
2014,Vermont,VT,16.4,550
2014,Virginia,VA,19.5,5580
2014,Washington,WA,15.3,4630
2014,West Virginia,WV,26.7,330
2014,Wisconsin,WI,17.4,4020
2014,Wyoming,WY,19.5,330
2015,Alabama,AL,21.4,4150
2015,Alaska,AK,19.1,420
2015,Arizona,AZ,14,3740
2015,Arkansas,AR,24.9,2620
2015,California,CA,11.7,18430
2015,Colorado,CO,15.6,2560
2015,Connecticut,CT,13.5,2870
2015,Delaware,DE,17.4,860
2015,Florida,FL,15.8,16810
2015,Georgia,GA,17.7,6460
2015,Hawaii,HI,14.1,890
2015,Idaho,ID,13.8,910
2015,Illinois,IL,15.1,8920
2015,Indiana,IN,20.6,5510
2015,Iowa,IA,18.1,2440
2015,Kansas,KS,17.7,1930
2015,Kentucky,KY,25.9,4680
2015,Louisiana,LA,21.9,3380
2015,Maine,ME,19.5,1360
2015,Maryland,MD,15.1,3980
2015,Massachusetts,MA,14,5150
2015,Michigan,MI,20.7,8350
2015,Minnesota,MN,16.2,3250
2015,Mississippi,MS,22.5,2340
2015,Missouri,MO,22.3,5380
2015,Montana,MT,18.9,760
2015,Nebraska,NE,17.1,1200
2015,Nevada,NV,17.5,1770
2015,New Hampshire,NH,15.9,260
2015,New Jersey,NJ,13.5,1610
2015,New Mexico,NM,17.5,360
2015,New York,NY,15.2,3630
2015,North Carolina,NC,19,1660
2015,North Dakota,ND,18.7,140
2015,Ohio,OH,21.6,10000
2015,Oklahoma,OK,22.2,3220
2015,Oregon,OR,17.1,2830
2015,Pennsylvania,PA,18.1,10540
2015,Rhode Island,RI,15.5,180
2015,South Carolina,SD,19.7,820
2015,South Dakota,SD,20.1,170
2015,Tennessee,TN,21.9,6200
2015,Texas,TX,15.2,13650
2015,Utah,UT,9.1,660
2015,Vermont,VT,16,570
2015,Virginia,VA,16.5,5740
2015,Washington,WA,15,4790
2015,West Virginia,WV,25.7,380
2015,Wisconsin,WI,17.3,4370
2015,Wyoming,WY,19.1,320
2016,Alabama,AL,21.5,4220
